,League,Season,ID,Pred,Score,FGper,FG3per,FTper,OR,DR,Ast,TO,Stl,Blk,PF,Score_against,FGper_against,FG3per_against,FTper_against,OR_against,DR_against,Ast_against,TO_against,Stl_against,Blk_against,PF_against,OEFF,DEFF,NET_EFF,eFG,TS,ORper,DRper,TOper,AST_TO,3P_Reliance,FTR,STLper,BLKper,avg_rank
0,M,2003,2003_1411_1421,0,-0.42841680823260403,0.5344663803652037,-1.171752609611,-3.631950535553157,-0.28881324615865434,-0.3406784812227244,-0.22883506357332034,-0.9307363506502454,-0.5211331106904407,-0.3043070010799807,-0.10820258655119142,-2.192396138201334,-1.3669406793464107,-1.1832794155977109,-0.5486300193495639,-2.63253729967885,-1.0761316722815086,-1.8945231103228337,0.2765753952442096,-0.5068995330738704,-1.2052427253768503,2.1724989781330537,-0.004317773690696969,-0.19587620666634642,0.19155843297564945,0.010096395116659274,-0.01667250096045586,0.014286454486412192,0.05644036254162116,-0.05179215917603863,0.07440186068448928,0.05859282447648817,0.2946497055448898,-0.04553690276958644,-0.04094476010641357,-0.0032684358442233163
1,M,2003,2003_1112_1436,1,2.6172105373973094,0.8535872716948415,0.20133101294149242,1.2745693308876773,1.036149137158553,1.4332302753371227,1.8528717855346477,0.11051684104054119,1.632895489155573,1.401385305037234,0.5672341458602393,1.3064709581750975,0.09214715484932912,-0.6287904007385454,-1.5891044130202197,2.939956575439161,1.1391169228828943,1.3380834104271433,1.6842586455835873,-0.6212812690804299,-1.3953484863864707,1.6950395921948065,0.09565985337575555,0.023316146291499695,0.07234370708425586,0.12160283793096105,0.015376685002098489,0.00470662307076164,-0.05268632902802994,-0.04210166964823159,0.22268682919781013,0.12985245568918524,0.10485792444500963,0.15253209462847306,0.3082511875386301,-0.4628059917553988
2,M,2003,2003_1113_1272,1,-0.17153517740777757,1.290227174724834,-1.4150063502203383,0.21907830344282497,0.07709568592378002,-1.398817558317035,-0.4675504140661795,0.2322685237498341,-1.3527856279412278,-0.5543664800322747,-0.2759208057770481,0.39713569567342194,1.7348906499033199,1.275057441335781,1.7427196540486842,-0.8705949503854709,-1.3461405593686528,0.7308383600742796,0.07715689750506995,-0.46807529521643254,1.7514121647714498,1.3057560429238217,-0.02502368815487732,0.0019797113115702647,-0.027003399466447586,-0.13846761027630716,-0.006731365252913124,0.032262664237946326,-0.0018975948428864298,0.005905563709947548,-0.09697283495138986,-0.31701412027647113,0.2527268412974102,-0.18701689422290357,-0.08209416219375654,0.04397120609806439
3,M,2003,2003_1141_1166,1,-0.05572265820824307,0.3178006896420482,0.5725523503915848,2.120161931694604,-0.3620587067765247,0.1771127374490573,-0.6378585837232964,2.7496124916394167,-1.2851353079318424,0.048242722746293376,1.276856759338025,1.3517075134303564,0.4943299148431123,1.0621864864242074,0.5030443601076442,0.9907208651284567,-1.5179587292949697,-0.7180469301414154,-0.6239800777068046,1.5804332260977363,-0.5512131557805476,0.9001762665049318,-0.15145763777596244,0.08571800113951877,-0.2371756389154812,0.012553273438726142,0.0030982294399763965,0.02349121552745559,-0.0194970742555875,0.04390176517434641,-0.36842083797269853,-0.05708345899419309,0.2234052926770349,-0.28882818094571827,0.1257154601913757,0.07675734973959952
4,M,2003,2003_1143_1301,1,0.0814319532998583,-0.07555530563694146,1.003633512953077,-2.5578472556051253,1.1910030687864397,0.6345618577575362,0.6442889349147629,-0.29544627194029166,-0.1838786521734585,0.11468066043049613,-1.2520985811423921,-0.35261552582580163,-1.1329938370121302,-0.18470232233628653,-1.2475250304444576,0.86077621375735,0.3492667268090032,1.651134631826924,0.5327218006094572,-1.02511744572807,-0.0381388632342079,-0.35407832828249797,0.07623825756814817,0.007244194035961438,0.06899406353218673,-0.10704040371749057,-0.008878610976134516,0.04004000152821635,-0.012051686106456794,0.044130419873403826,0.1253405250052888,-0.28215048733952086,-0.15611236245956073,0.05003867558587216,-0.03252805118853508,-0.04277805737292398
5,M,2003,2003_1140_1163,0,-0.9649557359280396,-1.0248823190620193,-0.9161417620836998,2.1492372572161407,-0.9825829498633689,-1.5186788447578743,-0.6879449497756244,-0.7692027702252151,1.8905494308683677,-3.7000883730674854,1.094309067368376,-1.4539203549946298,0.6742698828637714,-0.7543324460041536,-0.9303913875660279,-2.6375316849946304,-0.10574363535780162,-1.188361829966209,1.6704907046850197,-1.7179854724326364,-1.8890622719873627,0.9612427671004039,-0.04712789098360648,-0.23275996317848902,0.18563207219488254,0.02647640203548507,-0.010175006679906284,-0.027759515016271497,0.03644764863467326,-0.05388875841282148,0.0018113794954581763,0.21829818460625205,0.2581040365281735,0.23713392847737524,-1.0074426913722467,0.00336456631022998
6,M,2003,2003_1161_1181,0,-1.1995021841457953,1.4420891448237567,-0.03852611349911528,-0.24866373017463952,-1.1529519544387077,0.032633992480068805,1.4011927622334617,1.4683031074919253,-1.7629859348316221,0.9227863142309304,-0.7456868887572274,0.8420476744117109,-0.14010103348875158,0.2164372835885004,-0.5077461879351006,1.0596082761587162,-1.9153259251894217,0.8797408506652429,-2.9443168096679226,3.6647476643773502,-0.0016963359471297013,-1.4808184654850043,-0.11856575786568513,0.242314939870642,-0.36088069773632714,-0.05713264886225944,0.015399947546533899,0.005650591462696863,-0.0248530771287096,0.05026967288468065,0.007497693966480146,-0.2654148655274754,-0.13079120493383223,-0.2491328385597078,0.4263172835057971,0.22248548147226635
7,M,2003,2003_1153_1211,0,-1.455080998450544,-2.06727055899708,-0.5612409112852621,-0.8615672854581496,-0.3880809749428123,-1.1352674676923147,-2.0831535517013644,-2.3945581456610636,-1.3741321244466393,0.9499236064492051,0.3636057999445623,-0.6968230523025644,-0.22074752175633194,-0.5584485252933409,-0.9236991404395833,0.8411593743749695,1.7818261635142703,-0.716334693125549,-0.7911828730376487,-2.393897115595244,1.9794801653869352,-0.2193522802750754,0.05034260485655795,0.048499810153363465,0.0018427947031944836,-0.18183952953589255,-0.034170849260350133,-0.05032373188693412,-0.04264811255726508,-0.08577199570179761,0.06678886946449003,-0.07258002707108901,-0.049030203166101405,-0.06419197333301674,0.30207323946309006,-0.0020187397861379797
8,M,2003,2003_1228_1443,1,0.7379696622793326,1.2682001658256725,0.45921794169352315,1.6394002690257818,-1.6559215368839109,0.9561029315146485,1.9251102923413912,-1.0342941243329735,0.143803561876443,-0.5075267951618114,0.38114030783424874,-0.34993129586617977,-1.9111218605497566,1.1529206904946294,0.8588191658170127,0.1587414164852155,-0.17676921513558763,-0.7201871312093134,-0.31105929635050017,0.1802019078564806,-0.3377947964070729,-0.9834537829532337,-0.011379169866787997,-0.02171867728192356,0.010339507415135563,0.06894433122163846,0.022396366630253628,-0.055687976136104655,0.012759866961559174,-0.12046917253663125,0.3896365614142687,-0.04638896940371784,-0.01575865911033536,-0.031648862128001776,-0.15887696018490316,-0.14015821943758022
9,M,2003,2003_1242_1429,1,2.4489106515456394,1.7714518818010974,0.7550785915214119,-0.24307402236536324,0.19992424103152406,1.6601211088592625,0.8007473344437062,1.9914716099399925,4.3204173385963704,1.848898966161363,0.6086910880511225,1.0608056252163724,-0.4309340262029243,1.4385896433630396,1.5830634636737966,0.8510587731108944,1.1540828034876174,-0.23212593348534916,2.9040996688666887,1.3677427062389895,2.036048307624215,1.4110724846670233,-0.09217702793970306,-0.11047136944016178,0.018294341500458722,0.13324776573818475,0.019205089983823975,-0.020614959313297265,0.005009471699014667,-0.04492940470011286,-0.17081075988142747,0.018290064348247648,0.16948122010779254,0.3274921058148831,0.5026728659844855,-0.25954660348444664
