,Season,TeamId,avg_rank
0,2003,1102,156.03125
1,2003,1103,168.0
2,2003,1104,38.03125
3,2003,1105,308.96875
4,2003,1106,262.6875
5,2003,1107,301.9375
6,2003,1108,272.1875
7,2003,1110,171.5625
8,2003,1111,157.5
9,2003,1112,2.676470588235294
10,2003,1113,36.0
11,2003,1114,149.15625
12,2003,1115,319.34375
13,2003,1116,132.28125
14,2003,1117,184.28125
15,2003,1119,318.75
16,2003,1120,43.9375
17,2003,1122,94.96875
18,2003,1123,158.4375
19,2003,1124,106.03125
20,2003,1125,163.125
21,2003,1126,313.21875
22,2003,1127,209.59375
23,2003,1128,200.0
24,2003,1129,187.09375
25,2003,1130,49.90625
26,2003,1131,128.21875
27,2003,1132,173.84375
28,2003,1133,176.8125
29,2003,1135,149.3125
30,2003,1137,228.25
31,2003,1138,275.90625
32,2003,1139,41.0625
33,2003,1140,28.59375
34,2003,1141,45.6875
35,2003,1142,176.46875
36,2003,1143,36.40625
37,2003,1144,316.90625
38,2003,1145,231.25
39,2003,1147,248.9375
40,2003,1148,234.15625
41,2003,1149,244.40625
42,2003,1150,107.46875
43,2003,1151,115.34375
44,2003,1152,311.46875
45,2003,1153,42.4375
46,2003,1154,296.34375
47,2003,1155,103.6875
48,2003,1156,250.40625
49,2003,1157,258.625
50,2003,1158,93.6875
51,2003,1159,241.125
52,2003,1160,39.84375
53,2003,1161,83.03125
54,2003,1162,320.65625
55,2003,1163,27.5
56,2003,1164,273.4375
57,2003,1165,287.40625
58,2003,1166,20.735294117647058
59,2003,1168,247.3125
60,2003,1169,195.1875
61,2003,1170,238.8125
62,2003,1171,283.53125
63,2003,1172,138.375
64,2003,1173,21.676470588235293
65,2003,1174,167.625
66,2003,1175,238.3125
67,2003,1176,153.28125
68,2003,1177,67.0
69,2003,1178,93.28125
70,2003,1179,230.71875
71,2003,1180,111.9375
72,2003,1181,10.705882352941176
73,2003,1182,223.75
74,2003,1183,176.96875
75,2003,1184,267.3125
76,2003,1185,189.40625
77,2003,1186,120.25
78,2003,1187,152.46875
79,2003,1189,261.5625
80,2003,1190,125.59375
81,2003,1191,164.8125
82,2003,1192,261.0625
83,2003,1193,127.9375
84,2003,1194,289.75
85,2003,1196,9.823529411764707
86,2003,1197,236.96875
87,2003,1198,248.15625
88,2003,1199,86.125
89,2003,1200,289.5625
90,2003,1201,79.03125
91,2003,1202,225.4375
92,2003,1203,142.125
93,2003,1204,206.90625
94,2003,1205,294.875
95,2003,1206,137.0625
96,2003,1207,77.78125
97,2003,1208,12.666666666666666
98,2003,1209,216.125
99,2003,1210,65.125
100,2003,1211,43.09375
101,2003,1212,291.6875
102,2003,1214,216.6875
103,2003,1216,196.09375
104,2003,1217,226.6875
105,2003,1218,102.375
106,2003,1219,300.625
107,2003,1220,262.71875
108,2003,1221,65.21875
109,2003,1222,211.0625
110,2003,1224,270.40625
111,2003,1225,221.03125
112,2003,1226,183.96875
113,2003,1227,67.9375
114,2003,1228,10.5
115,2003,1229,220.78125
116,2003,1231,41.40625
117,2003,1232,256.46875
118,2003,1233,160.25
119,2003,1234,88.75
120,2003,1235,76.15625
121,2003,1236,271.1875
122,2003,1237,150.09375
123,2003,1238,278.34375
124,2003,1239,245.0
125,2003,1240,177.0625
126,2003,1241,222.96875
127,2003,1242,5.970588235294118
128,2003,1243,103.15625
129,2003,1245,77.40625
130,2003,1246,1.2647058823529411
131,2003,1247,173.78125
132,2003,1248,247.8125
133,2003,1249,241.25
134,2003,1250,224.5625
135,2003,1251,270.875
136,2003,1252,305.71875
137,2003,1253,298.4375
138,2003,1254,286.28125
139,2003,1256,186.28125
140,2003,1257,10.029411764705882
141,2003,1258,219.6875
142,2003,1259,312.40625
143,2003,1260,146.8125
144,2003,1261,26.6875
145,2003,1263,219.96875
146,2003,1264,61.375
147,2003,1265,200.71875
148,2003,1266,12.823529411764707
